,gloss,wnid,words
3423,large rapidly growing poplar with faintly lobed dentate leaves grey on the lower surface; native to Europe but introduced and naturalized elsewhere,n12732252,"grey poplar, gray poplar, Populus canescens"
3424,large European poplar,n12732491,"black poplar, Populus nigra"
3425,distinguished by its columnar fastigiate shape and erect branches,n12732605,"Lombardy poplar, Populus nigra italica"
3426,any of several North American trees of the genus Populus having a tuft of cottony hairs on the seed,n12732756,cottonwood
3427,a common poplar of eastern and central United States; cultivated in United States for its rapid growth and luxuriant foliage and in Europe for timber,n12732966,"Eastern cottonwood, necklace poplar, Populus deltoides"
3428,cottonwood of western North America with dark green leaves shining above and rusty or silvery beneath,n12733218,"black cottonwood, Western balsam poplar, Populus trichocarpa"
3429,North American poplar with large rounded scalloped leaves and brownish bark and wood,n12733428,"swamp cottonwood, black cottonwood, downy poplar, swamp poplar, Populus heterophylla"
3430,any of several trees of the genus Populus having leaves on flattened stalks so that they flutter in the lightest wind,n12733647,aspen
3431,Old World aspen with a broad much-branched crown; northwestern Europe and Siberia to North Africa,n12733870,"quaking aspen, European quaking aspen, Populus tremula"
3432,slender aspen native to North America,n12734070,"American quaking aspen, American aspen, Populus tremuloides"
3433,aspen with a narrow crown; eastern North America,n12734215,"Canadian aspen, bigtooth aspen, bigtoothed aspen, big-toothed aspen, large-toothed aspen, large tooth aspen, Populus grandidentata"
3434,tree of low-lying coastal areas of southeastern United States having glossy leaves and racemes of fragrant white flowers,n12751172,"titi, buckwheat tree, Cliftonia monophylla"
3435,any of numerous trees or shrubs of the genus Acer bearing winged seeds in pairs; north temperate zone,n12752205,maple
3436,a common North American maple tree; five-lobed leaves are light green above and silvery white beneath; source of hard close-grained but brittle light-brown wood,n12753007,"silver maple, Acer saccharinum"
3437,maple of eastern and central North America having three-lobed to five-lobed leaves and hard close-grained wood much used for cabinet work especially the curly-grained form; sap is chief source of maple syrup and maple sugar; many subspecies,n12753245,"sugar maple, rock maple, Acer saccharum"
3438,maple of eastern and central America; five-lobed leaves turn scarlet and yellow in autumn,n12753573,"red maple, scarlet maple, swamp maple, Acer rubrum"
3439,maple of eastern North America with striped bark and large two-lobed leaves clear yellow in autumn,n12753762,"moosewood, moose-wood, striped maple, striped dogwood, goosefoot maple, Acer pennsylvanicum"
3440,maple of western North America having large 5-lobed leaves orange in autumn,n12754003,"Oregon maple, big-leaf maple, Acer macrophyllum"
3441,small maple of northwestern North America,n12754174,"dwarf maple, Rocky-mountain maple, Acer glabrum"
3442,small shrubby maple of eastern North America; scarlet in autumn,n12754311,"mountain maple, mountain alder, Acer spicatum"
3443,small maple of northwestern North America having prostrate stems that root freely and form dense thickets,n12754468,"vine maple, Acer circinatum"
3444,shrubby Eurasian maple often used as a hedge,n12754648,"hedge maple, field maple, Acer campestre"
3445,a large Eurasian maple tree naturalized in North America; five-lobed leaves yellow in autumn; cultivated in many varieties,n12754781,"Norway maple, Acer platanoides"
3446,Eurasian maple tree with pale grey bark that peels in flakes like that of a sycamore tree; leaves with five ovate lobes yellow in autumn,n12754981,"sycamore, great maple, scottish maple, Acer pseudoplatanus"
3447,common shade tree of eastern and central United States,n12755225,"box elder, ash-leaved maple, Acer negundo"
3448,maple of the Pacific coast of the United States; fruits are white when mature,n12755387,"California box elder, Acer negundo Californicum"
3449,small shrubby Japanese plant with leaves having 5 to 7 acuminate lobes; yellow in autumn,n12755559,"pointed-leaf maple, Acer argutum"
3450,leaves deeply incised and bright red in autumn; Japan,n12755727,"Japanese maple, full moon maple, Acer japonicum"
3451,ornamental shrub or small tree of Japan and Korea with deeply incised leaves; cultivated in many varieties,n12755876,"Japanese maple, Acer palmatum"
3452,any tree or shrub of the genus Ilex having red berries and shiny evergreen leaves with prickly edges,n12756457,holly
3453,deciduous shrub of southeastern and central United States,n12757303,"bearberry, possum haw, winterberry, Ilex decidua"
3454,evergreen holly of eastern North America with oblong leathery leaves and small black berries,n12757458,"inkberry, gallberry, gall-berry, evergreen winterberry, Ilex glabra"
3455,South American holly; leaves used in making a drink like tea,n12757668,"mate, Paraguay tea, Ilex paraguariensis"
3456,an evergreen tree,n12757816,"American holly, Christmas holly"
3457,an evergreen shrub,n12757930,low gallberry holly
3458,an evergreen shrub,n12758014,tall gallberry holly
3459,an evergreen shrub,n12758099,yaupon holly
3460,a holly tree,n12758176,deciduous holly
3461,a holly shrub,n12758250,juneberry holly
3462,a holly tree,n12758325,largeleaf holly
3463,a holly shrub,n12758399,Geogia holly
3464,a holly shrub,n12758471,common winterberry holly
3465,a holly shrub,n12758555,smooth winterberry holly
3466,a Mediterranean tree yielding Chian turpentine,n12761905,"terebinth, Pistacia terebinthus"
3467,tree having palmate leaves and large clusters of white to red flowers followed by brown shiny inedible seeds,n12768369,"horse chestnut, buckeye, Aesculus hippocastanum"
3468,a tall and often cultivated buckeye of the central United States,n12768809,sweet buckeye
3469,a buckeye with scaly grey bark that is found in the central United States,n12768933,Ohio buckeye
3470,a spreading shrub with pink flowers; found in southeastern United States,n12769065,"dwarf buckeye, bottlebrush buckeye"
3471,a shrub buckeye of southern United States,n12769219,red buckeye
3472,a buckeye marked by different colors or tints,n12769318,particolored buckeye
3473,tropical American timber tree with dark hard heavy wood and small plumlike purple fruit,n12773917,"satinleaf, satin leaf, caimitillo, damson plum, Chrysophyllum oliviforme"
3474,any of various deciduous trees of the genus Halesia having white bell-shaped flowers,n12778219,silver bell
3475,medium-sized tree of West Virginia to Florida and Texas,n12778398,"silver-bell tree, silverbell tree, snowdrop tree, opossum wood, Halesia carolina, Halesia tetraptera"
3476,large tropical American tree of the genus Cordia grown for its abundant creamy white flowers and valuable wood,n12818346,"Spanish elm, Equador laurel, salmwood, cypre, princewood, Cordia alliodora"
3477,small tropical American tree yielding purple dye and a tanning extract and bearing physic nuts containing a purgative oil that is poisonous in large quantities,n12925583,"physic nut, Jatropha curcus"
3478,deciduous tree of the Amazon and Orinoco Rivers having leathery leaves and fragrant yellow-white flowers; it yields a milky juice that is the chief source of commercial rubber,n12926039,"Para rubber tree, caoutchouc tree, Hevea brasiliensis"
3479,large tree native to southeastern Asia; the nuts yield oil used in varnishes; nut kernels strung together are used locally as candles,n12927494,"candlenut, varnish tree, Aleurites moluccana"
3480,Chinese tree bearing seeds that yield tung oil,n12927758,"tung tree, tung, tung-oil tree, Aleurites fordii"
3481,a tree of shrub of the genus Cornus often having showy bracts resembling flowers,n12946849,"dogwood, dogwood tree, cornel"
3482,deciduous tree; celebrated for its large white or pink bracts and stunning autumn color that is followed by red berries,n12947313,"common white dogwood, eastern flowering dogwood, Cornus florida"
3483,common North American shrub with reddish purple twigs and white flowers,n12947544,"red osier, red osier dogwood, red dogwood, American dogwood, redbrush, Cornus stolonifera"
3484,shrub of eastern North America closely resembling silky cornel,n12947756,"silky dogwood, Cornus obliqua"
3485,shrub of eastern North America having purplish stems and blue fruit,n12947895,"silky cornel, silky dogwood, Cornus amomum"
3486,European deciduous shrub turning red in autumn having dull white flowers,n12948053,"common European dogwood, red dogwood, blood-twig, pedwood, Cornus sanguinea"
3487,creeping perennial herb distinguished by red berries and clustered leaf whorls at the tips of shoots; Greenland to Alaska,n12948251,"bunchberry, dwarf cornel, crackerberry, pudding berry, Cornus canadensis"
3488,deciduous European shrub or small tree having bright red fruit,n12948495,"cornelian cherry, Cornus mas"
3489,tree bearing edible nuts,n13110915,nut tree
3490,tree bearing large brown nuts containing e.g. caffeine; source of cola extract,n12197359,"kola, kola nut, kola nut tree, goora nut, Cola acuminata"
3491,any tree of the genus Macadamia,n12221191,"macadamia, macadamia tree"
3492,medium-sized tree of eastern Australia having creamy-white flowers,n12221368,Macadamia integrifolia
3493,small Australian tree with racemes of pink flowers; widely cultivated (especially in Hawaii) for its sweet edible nuts,n12221522,"macadamia nut, macadamia nut tree, Macadamia ternifolia"
3494,bushy tree with pink to purple flowers,n12221801,"Queensland nut, Macadamia tetraphylla"
3495,any of several shrubs or small trees of the genus Corylus bearing edible nuts enclosed in a leafy husk,n12288823,"hazelnut, hazel, hazelnut tree"
3496,nut-bearing shrub of eastern North America,n12289310,"American hazel, Corylus americana"
3497,small nut-bearing tree much grown in Europe,n12289433,"cobnut, filbert, Corylus avellana, Corylus avellana grandis"
3498,hazel of western United States with conspicuous beaklike involucres on the nuts,n12289585,"beaked hazelnut, Corylus cornuta"
3499,any of various trees of the genus Juglans,n12318378,"walnut, walnut tree"
3500,medium-sized tree with somewhat aromatic compound leaves and edible nuts,n12318782,"California black walnut, Juglans californica"
3501,North American walnut tree having light-brown wood and edible nuts; source of a light-brown dye,n12318965,"butternut, butternut tree, white walnut, Juglans cinerea"
3502,North American walnut tree with hard dark wood and edible nut,n12319204,"black walnut, black walnut tree, black hickory, Juglans nigra"
